"workPid","dataPid","isPartOf","hasPart","relatedTo","xml:sortorder","copyrightStatus","lukasPhotoId","vkcId"
"http://kunstenenerfgoed.be/CVG/collection/work/id/6696","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1952-G",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20074000,100000048
"http://mskgent.be/collection/work/id/1903-H","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1903-H",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20553000,100000049
"http://mskgent.be/collection/work/id/1914-DF","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1914-DF",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20049000,100000050
"http://mskgent.be/collection/work/id/1914-II","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1914-II",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20196000,100000051
"http://mskgent.be/collection/work/id/1914-DE","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1914-DE",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20566001,100000052
"http://mskgent.be/collection/work/id/1994-F-1","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1994-F-1","http://mskgent.be/collection/work/id/1994-F",,"http://mskgent.be/collection/work/id/1994-F-2",,"https://creativecommons.org/publicdomain/zero/1.0/",20767000,100000053
"http://mskgent.be/collection/work/id/1994-F-2","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1994-F-2","http://mskgent.be/collection/work/id/1994-F",,"http://mskgent.be/collection/work/id/1994-F-3",,"https://creativecommons.org/publicdomain/zero/1.0/",20768000,100000054
"http://mskgent.be/collection/work/id/1994-F-3","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1994-F-3","http://mskgent.be/collection/work/id/1994-F",,"http://mskgent.be/collection/work/id/1994-F-4",,"https://creativecommons.org/publicdomain/zero/1.0/",20769000,100000055
"http://mskgent.be/collection/work/id/1994-F-4","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1994-F-4","http://mskgent.be/collection/work/id/1994-F",,"http://mskgent.be/collection/work/id/1994-F-5",,"https://creativecommons.org/publicdomain/zero/1.0/",?,100000056
"http://mskgent.be/collection/work/id/1994-F-5","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1994-F-5","http://mskgent.be/collection/work/id/1994-F",,"http://mskgent.be/collection/work/id/1994-F-1",,"https://creativecommons.org/publicdomain/zero/1.0/",20770000,100000057
"http://mskgent.be/collection/work/id/1988-M","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1988-M",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20345000,100000058
"http://mskgent.be/collection/work/id/1975-A","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1975-A",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20289000,100000059
"http://mskgent.be/collection/work/id/1974-F","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1974-F",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20287000,100000060
"http://mskgent.be/collection/work/id/1914-DH","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1914-DH",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20567000,100000061
"http://mskgent.be/collection/work/id/1908-F","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1908-F",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20217000,100000062
"http://mskgent.be/collection/work/id/1957-W-9","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1957-W-9",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20250000,100000063
"http://mskgent.be/collection/work/id/1957-W-10","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1957-W-10",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20248000,100000064
"http://mskgent.be/collection/work/id/1957-W-5","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1957-W-5",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20251000,100000065
"http://mskgent.be/collection/work/id/1970-AE","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1970-AE",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20135000,100000066
"http://mskgent.be/collection/work/id/1979-C","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1979-C",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20280000,100000067
"http://mskgent.be/collection/work/id/1914-Z","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1914-Z",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20285000,100000068
"http://mskgent.be/collection/work/id/2003-J-C","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:2003-J-C",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20680000,100000069
"http://mskgent.be/collection/work/id/1982-N","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1982-N",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20843002,100000070
"http://mskgent.be/collection/work/id/1982-N","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1982-N",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20843001,100000071
"http://mskgent.be/collection/work/id/1982-N","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1982-N",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20843003,100000072
"http://groeningemuseum.be/collection/work/id/1981_GRO0001_XI","oai:datahub.vlaamsekunstcollectie.be:groeningemuseum.be:1981_GRO0001_XI",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",40052002,100000073
"http://groeningemuseum.be/collection/work/id/1981_GRO0001_XI","oai:datahub.vlaamsekunstcollectie.be:groeningemuseum.be:1981_GRO0001_XI",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",40052001,100000074
"http://groeningemuseum.be/collection/work/id/1981_GRO0001_XI","oai:datahub.vlaamsekunstcollectie.be:groeningemuseum.be:1981_GRO0001_XI",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",40052000,100000075
"http://mskgent.be/collection/work/id/1998-B-67-1","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1998-B-67-1",,,,,"http://rightsstatements.org/vocab/InC/1.0/",20865000,100000076
"http://kunstenenerfgoed.be/CVG/collection/work/id/BKT_007","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:2008-B",,,,,"http://rightsstatements.org/vocab/InC/1.0/",20194000,100000077
"http://mskgent.be/collection/work/id/S-6","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:S-6",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20802000,100000078
"http://mskgent.be/collection/work/id/1910-R","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1910-R",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20112000,100000079
"http://mskgent.be/collection/work/id/1938-M","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1938-M",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20376000,100000080
"http://mskgent.be/collection/work/id/1914-BM","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1914-BM",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20353000,100000081
"http://mskgent.be/collection/work/id/1912-E","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1912-E",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20342000,100000082
"http://mskgent.be/collection/work/id/1991-M","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1991-M",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20095000,100000083
"http://mskgent.be/collection/work/id/1979-J","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1979-J",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20087000,100000084
"http://mskgent.be/collection/work/id/2003-AZ","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:2003-AZ",,,,,"http://rightsstatements.org/vocab/InC/1.0/",20145009,100000085
"http://mskgent.be/collection/work/id/1909-PPP-2","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1909-PPP-2",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20033002,100000086
"http://mskgent.be/collection/work/id/1999-Q","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1999-Q",,,,,"http://rightsstatements.org/vocab/InC/1.0/",20097000,100000087
"http://mskgent.be/collection/work/id/1999-M","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1999-M",,,,,"http://rightsstatements.org/vocab/InC/1.0/",20096000,100000088
"http://mskgent.be/collection/work/id/1934-U","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1934-U",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20063000,100000089
"http://mskgent.be/collection/work/id/1988-B","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1988-B",,,,,"http://rightsstatements.org/vocab/InC/1.0/",20091001,100000090
"http://groeningemuseum.be/collection/work/id/0000_GRO0162_I","oai:datahub.vlaamsekunstcollectie.be:groeningemuseum.be:0000_GRO0162_I",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",40160000,100000091
"http://groeningemuseum.be/collection/work/id/0000_GRO0161_I","oai:datahub.vlaamsekunstcollectie.be:groeningemuseum.be:0000_GRO0161_I",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",40090268,100000092
"http://groeningemuseum.be/collection/work/id/0000_GRO0204_I","oai:datahub.vlaamsekunstcollectie.be:groeningemuseum.be:0000_GRO0204_I",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",40088054,100000093
"http://groeningemuseum.be/collection/work/id/0000_GRO0208_I","oai:datahub.vlaamsekunstcollectie.be:groeningemuseum.be:0000_GRO0208_I",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",40008001,100000094
"http://groeningemuseum.be/collection/work/id/0000_GRO0208_I","oai:datahub.vlaamsekunstcollectie.be:groeningemuseum.be:0000_GRO0208_I",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",40008004,100000095
